"id","email","data","valor","quantidade","produto"
1,"giurafaello@gmail.com","2025-12-15 09:00:00","850.0",3,"Travesso Destino"
2,"giuliano_rafaello@outlook.com","2025-12-15 09:00:00","100",10,"Travesso Destino"
3,"giurafaello@gmail.com","2025-12-15 09:00:00","800.0",6,"Destino Complexo"
4,"giuliano_rafaello@outlook.com","2025-12-15 09:00:00","960.0",1,"Travesso Destino"
5,"giuliano_rafaello@outlook.com","2025-12-16 09:00:00","50.0",1,"Destino Complexo"
6,"giurafaca@gmail.com","2025-12-16 09:45:00","500.0",8,"Travesso Destino"
7,"giurafaca@gmail.com","2025-12-16 10:00:00","450.0",1,"Destino Complexo"
8,"giurafaello@gmail.com","2025-12-10 09:00:00","234.0",5,"Travesso Destino"
9,"oferendas@destr.com","2025-12-03 08:15:00","456.0",8,"Destino de amar"
10,"oferendas@destr.com","2025-11-11 08:15:00","400.0",3,"Destino Complexo"
11,"oferendas@destr.com","2025-11-04 08:15:00","56.0",33,"Travesso Destino"
12,"ggg@gmail.com","2025-11-06 08:15:00","312.0",1,"Travesso Destino"
13,"ggg@gmail.com","2025-11-06 08:15:00","200.0",3,"Destino Complexo"
14,"ggg@gmail.com","2025-11-21 08:15:00","600.0",20,"Travesso Destino"
15,"ggg@gmail.com","2025-11-10 08:15:00","20.0",1,"Travesso Destino"
16,"ggg@gmail.com","2025-11-25 08:15:00","20.0",4,"Destino Complexo"
17,"ggg@gmail.com","2025-10-13 08:15:00","20.0",3,"Travesso Destino"
18,"ggg@gmail.com","2025-10-13 08:15:00","45.0",2,"Travesso Destino"
19,"ggg@gmail.com","2025-10-12 08:15:00","234.0",2,"Travesso Destino"
20,"ggg@gmail.com","2025-10-15 08:15:00","23.0",1,"Travesso Destino"
21,"ggg@gmail.com","2025-10-12 08:15:00","12.0",1,"Travesso Destino"
22,"ggg@gmail.com","2025-10-12 08:15:00","100.0",4,"Destino de amar"
23,"ggg@gmail.com","2025-10-22 08:15:00","23.0",3,"Destino de amar"
24,"giurafaca@gmail.com","2025-10-22 08:15:00","10.0",1,"Destino de amar"
25,"giurafaca@gmail.com","2025-12-18 09:00:00","890.0",1,"Travesso Destino"
